,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Berdigestyakh,RU,62.0989,126.6992,6.19,98,100,1.92
1,Albany,US,42.6001,-73.9662,37.26,90,100,3.6
2,Cidreira,BR,-30.1811,-50.2056,77.63,80,99,4.05
3,Ponta Delgada,PT,37.7333,-25.6667,59.72,63,20,14.97
4,Lewistown,US,40.5992,-77.5714,44.73,81,100,13.8
5,Grimmen,DE,54.1121,13.0405,33.98,62,14,7.38
6,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,17.27
7,Port-Cartier,CA,50.0334,-66.8654,24.91,67,84,5.32
8,Chuy,UY,-33.6971,-53.4616,79.03,56,43,10.38
9,Lompoc,US,34.6391,-120.4579,54.52,72,100,10.36
10,Mataura,NZ,-46.1927,168.8643,45.0,97,68,0.51
11,Hermanus,ZA,-34.4187,19.2345,65.8,92,100,9.75
12,Saskylakh,RU,71.9167,114.0833,-21.39,100,94,2.93
13,Mar Del Plata,AR,-38.0023,-57.5575,72.82,74,40,13.8
14,Trowbridge,GB,51.3189,-2.2086,40.75,74,84,5.28
15,Nelson Bay,AU,-32.7167,152.15,68.0,94,3,3.0
16,Arequipa,PE,-16.3989,-71.535,73.47,43,40,9.22
17,Port Alfred,ZA,-33.5906,26.891,71.19,93,29,7.85
18,Bredasdorp,ZA,-34.5322,20.0403,67.12,88,88,7.63
19,Atuona,PF,-9.8,-139.0333,79.84,81,17,14.14
20,Mount Isa,AU,-20.7333,139.5,73.17,88,75,2.3
21,Bulgan,MN,48.8125,103.5347,30.78,49,13,7.02
22,Talnakh,RU,69.4865,88.3972,-14.8,99,100,2.68
23,Vaini,TO,-21.2,-175.2,80.76,89,75,5.75
24,Itaberaba,BR,-12.5275,-40.3069,94.3,30,59,13.04
25,Honiara,SB,-9.4333,159.95,77.16,86,100,7.07
26,Henties Bay,NA,-22.116,14.2845,64.63,78,0,10.54
27,Berlevag,NO,70.8578,29.0864,28.35,93,100,33.38
28,Yellowknife,CA,62.456,-114.3525,-14.28,64,75,8.05
29,Qaanaaq,GL,77.484,-69.3632,9.09,46,0,8.66
30,Gizo,SB,-8.103,156.8419,82.22,74,100,14.99
31,Geraldton,AU,-28.7667,114.6,66.61,77,0,13.8
32,Ixtapa,MX,20.7,-105.2,76.23,57,40,5.75
33,Busselton,AU,-33.65,115.3333,60.49,74,57,9.44
34,Cabo San Lucas,MX,22.8909,-109.9124,76.3,49,0,6.15
35,Fortuna,US,40.5982,-124.1573,40.98,96,20,11.5
36,Kaitangata,NZ,-46.2817,169.8464,49.3,85,88,3.42
37,Klaksvik,FO,62.2266,-6.589,36.52,97,100,14.56
38,Thompson,CA,55.7435,-97.8558,17.76,73,75,6.91
39,Oussouye,SN,12.485,-16.5469,89.78,44,18,9.53
40,Esperance,AU,-33.8667,121.9,65.48,66,92,16.93
41,Carnarvon,AU,-24.8667,113.6333,77.63,70,0,22.73
42,Marawi,PH,7.9986,124.2928,66.27,96,64,1.68
43,Begunitsy,RU,59.5855,29.3176,23.74,95,96,7.72
44,Locri,IT,38.2414,16.2623,46.31,87,13,8.03
45,Clyde River,CA,70.4692,-68.5914,-0.17,55,75,14.97
46,Zhigalovo,RU,54.8097,105.1578,14.92,97,100,3.58
47,Ribeira Grande,PT,38.5167,-28.7,61.2,72,75,25.32
48,Nikolskoye,RU,59.7035,30.7861,31.89,96,100,6.82
49,Butaritari,KI,3.0707,172.7902,80.74,79,100,6.96
50,Hamilton,US,39.1834,-84.5333,55.51,49,0,4.61
51,Torbay,CA,47.6666,-52.7314,28.27,54,15,13.0
52,Ust-Barguzin,RU,53.45,108.9833,16.88,88,100,1.97
53,Hailakandi,IN,24.6833,92.5667,66.02,50,0,3.85
54,Severo-Kurilsk,RU,50.6789,156.125,19.94,70,99,21.07
55,Saint George,US,37.1041,-113.5841,46.44,51,100,4.61
56,Bilma,NE,18.6853,12.9164,87.96,10,0,6.87
57,Chokurdakh,RU,70.6333,147.9167,-34.71,96,14,6.46
58,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,88,40,3.0
59,Lebu,CL,-37.6167,-73.65,62.46,61,0,17.74
60,Tianpeng,CN,30.9866,103.9393,59.72,64,82,1.52
61,Morehead,US,37.2711,-87.1764,55.85,50,0,5.75
62,New Norfolk,AU,-42.7826,147.0587,61.92,71,100,0.18
63,Salalah,OM,17.0151,54.0924,77.09,83,20,3.44
64,Yenagoa,NG,4.9247,6.2642,80.17,85,100,5.5
65,Georgetown,MY,5.4112,100.3354,80.53,78,20,9.22
66,East London,ZA,-33.0153,27.9116,72.54,88,20,4.61
67,Staryy Nadym,RU,65.6118,72.6842,-19.5,100,68,5.1
68,Arraial Do Cabo,BR,-22.9661,-42.0278,91.36,55,0,18.41
69,Rikitea,PF,-23.1203,-134.9692,79.99,75,100,15.99
70,Te Anau,NZ,-45.4167,167.7167,43.74,92,54,3.62
71,Zhangjiakou,CN,40.81,114.8794,37.51,30,0,2.37
72,Puerto Ayora,EC,-0.7393,-90.3518,84.16,88,54,8.99
73,Manokwari,ID,-0.8667,134.0833,78.49,79,100,8.48
74,Pacific Grove,US,36.6177,-121.9166,53.42,74,100,18.01
75,Saint-Pierre,RE,-21.3393,55.4781,77.58,88,100,5.75
76,Jamestown,US,42.097,-79.2353,35.19,100,100,4.0
77,Legnica,PL,51.2101,16.1619,39.02,87,100,10.98
78,Hithadhoo,MV,-0.6,73.0833,82.24,73,66,6.51
79,Ushuaia,AR,-54.8,-68.3,46.06,66,75,24.16
80,San Juan,AR,-31.5375,-68.5364,91.67,17,0,4.68
81,Saint-Philippe,RE,-21.3585,55.7679,76.59,89,100,3.94
82,Barrow,US,71.2906,-156.7887,-34.58,98,100,11.5
83,Bambous Virieux,MU,-20.3428,57.7575,81.21,83,75,3.44
84,Mathbaria,BD,22.2876,89.9593,72.59,47,0,4.63
85,Khatanga,RU,71.9667,102.5,-6.07,99,100,7.72
86,Prince Rupert,CA,54.3161,-130.3201,40.69,70,0,9.22
87,Ust-Tarka,RU,55.5672,75.705,19.33,95,96,10.6
88,Kapaa,US,22.0752,-159.319,73.72,86,20,12.66
89,Cape Town,ZA,-33.9258,18.4232,69.12,85,40,5.75
90,Alice Springs,AU,-23.7,133.8833,62.15,42,21,5.75
91,Umm Kaddadah,SD,13.6017,26.6876,76.37,9,9,11.95
92,Bartica,GY,6.4,-58.6167,86.32,70,100,5.57
93,Baykit,RU,61.67,96.37,8.65,95,100,5.88
94,Broome,US,42.2506,-75.833,38.08,82,100,13.8
95,Merauke,ID,-8.4667,140.3333,79.0,87,100,14.67
96,Kaka,TM,37.3482,59.6143,67.28,24,35,7.87
97,Laguna,US,38.421,-121.4238,53.91,62,40,14.97
98,Avarua,CK,-21.2078,-159.775,82.45,78,75,10.36
99,Iqaluit,CA,63.7506,-68.5145,26.33,73,75,16.11
100,Hilo,US,19.7297,-155.09,73.11,91,100,3.44
101,Iwaki,JP,37.05,140.8833,39.02,63,90,6.58
102,Hofn,IS,64.2539,-15.2082,36.18,77,100,3.51
103,Flinders,AU,-34.5833,150.8552,69.39,85,57,1.99
104,Waipawa,NZ,-41.4122,175.5153,55.65,83,100,7.11
105,Mahanoro,MG,-19.9,48.8,76.24,96,100,3.15
106,Zeya,RU,53.75,127.2667,23.27,100,100,3.06
107,Ponta Do Sol,PT,32.6667,-17.1,69.01,89,37,5.97
108,Avera,US,33.194,-82.5271,76.51,37,1,11.14
109,Palmer,US,42.1584,-72.3287,39.61,77,100,5.99
110,Wangaratta,AU,-36.3667,146.3333,69.31,79,0,7.36
111,Lavrentiya,RU,65.5833,-171.0,5.47,96,100,12.55
112,Eyl,SO,7.9803,49.8164,76.98,72,13,15.19
113,Souillac,MU,-20.5167,57.5167,80.98,83,75,3.44
114,Airai,TL,-8.9266,125.4092,58.86,90,100,2.75
115,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,74,0,3.44
116,Ilebo,CD,-4.3167,20.5833,79.74,65,100,0.67
117,Chipata,ZM,-13.6333,32.65,66.45,96,99,1.5
118,Altay,CN,47.8667,88.1167,21.0,68,100,7.49
119,Castro,BR,-24.7911,-50.0119,74.14,80,12,8.68
120,Bethel,US,41.3712,-73.414,43.16,78,100,6.91
121,Tommot,RU,58.9564,126.2925,26.04,93,100,18.3
122,Mulege,MX,26.8833,-111.9833,70.66,26,0,6.51
123,Westport,US,41.1415,-73.3579,44.74,75,100,11.5
124,Fuzhou,CN,26.0614,119.3061,53.49,76,1,2.15
125,Ahipara,NZ,-35.1667,173.1667,64.58,78,80,11.9
126,Cayenne,GF,4.9333,-52.3333,82.44,74,75,14.97
127,Manzil Salim,TN,35.8567,8.4765,42.98,81,61,12.62
128,Yongchang,CN,30.0381,119.7317,44.58,67,1,1.83
129,Pozzallo,IT,36.7305,14.8499,52.45,78,97,22.62
130,Kahului,US,20.8947,-156.47,73.98,85,20,11.5
131,Kalmunai,LK,7.4167,81.8167,76.57,89,100,7.45
132,Banyo,CM,6.75,11.8167,80.83,36,95,3.47
133,San Patricio,US,28.017,-97.5169,82.17,33,0,8.57
134,Luderitz,NA,-26.6481,15.1594,62.74,84,0,5.86
135,Hualmay,PE,-11.0964,-77.6139,77.79,72,41,10.42
136,Tasiilaq,GL,65.6145,-37.6368,32.16,98,91,1.83
137,Vila Velha,BR,-20.3297,-40.2925,87.75,70,0,14.97
138,Trincomalee,LK,8.5711,81.2335,79.63,81,100,12.59
139,Lake Havasu City,US,34.4839,-114.3224,63.23,43,0,10.36
140,Lorengau,PG,-2.0226,147.2712,78.82,86,100,11.39
141,Muisne,EC,0.6,-80.0333,79.02,85,93,5.53
142,Mbanza-Ngungu,CD,-5.25,14.8667,72.34,89,100,3.65
143,Popondetta,PG,-8.7537,148.2534,72.07,93,100,3.02
144,Solnechnyy,RU,50.7214,136.6319,16.5,92,49,5.5
145,Chifeng,CN,42.2683,118.9636,35.69,35,0,5.17
146,Hemsedal,NO,60.8629,8.5534,8.38,90,12,8.63
147,Biak,ID,-0.9131,122.8766,77.41,76,94,2.84
148,Tautira,PF,-17.7333,-149.15,79.83,80,100,7.76
149,Panzhihua,CN,26.5851,101.7128,53.6,46,0,1.16
150,Manutuke,NZ,-38.6833,177.9167,63.43,91,100,8.66
151,Norrtalje,SE,59.758,18.705,33.03,64,87,11.81
152,Kharp,RU,66.8014,65.8081,-13.41,95,22,4.9
153,Bluff,NZ,-46.6,168.3333,52.95,64,76,7.49
154,Srednekolymsk,RU,67.45,153.6833,-44.19,100,49,2.13
155,Teguise,ES,29.0605,-13.564,64.62,60,20,10.36
156,Bengkulu,ID,-3.8004,102.2655,73.78,90,100,3.38
157,Xiongzhou,CN,25.1167,114.3,55.08,50,0,1.97
158,Provideniya,RU,64.3833,-173.3,15.1,95,100,8.16
159,Port Arthur,CN,38.8,121.2667,40.91,84,73,8.57
160,Seddon,AU,-37.8068,144.8916,66.33,84,0,13.8
161,Nome,US,64.5011,-165.4064,8.67,92,100,27.63
162,Longyearbyen,SJ,78.2186,15.6401,6.64,56,75,28.77
163,Victoria,HK,22.2855,114.1577,64.45,78,0,8.99
164,Ilulissat,GL,69.2167,-51.1,28.42,86,75,1.14
165,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,36,0,9.22
166,Touros,BR,-5.1989,-35.4608,83.53,68,85,15.84
167,Riyadh,SA,24.6877,46.7219,77.14,21,0,10.31
168,Mahebourg,MU,-20.4081,57.7,81.25,83,75,3.44
169,Luanda,AO,-8.8368,13.2343,78.22,78,100,13.38
170,Talaya,RU,61.3833,152.75,-38.33,94,52,2.44
171,Voyinka,UA,45.8699,33.9914,41.94,91,21,13.78
172,Neryungri,RU,56.6709,124.6491,26.04,81,100,14.41
173,Rovaniemi,FI,66.5,25.7167,24.21,93,100,8.05
174,Lovington,US,32.944,-103.3485,61.18,25,4,1.05
175,Nara,JP,34.6851,135.8049,41.5,52,39,2.26
176,Codrington,AU,-38.2667,141.9667,55.0,92,7,5.37
177,Laurel,US,39.0993,-76.8483,57.74,51,0,21.85
178,Aklavik,CA,68.2191,-135.0107,-29.2,68,20,2.3
179,Rosetta,EG,31.4044,30.4164,60.44,72,0,12.37
180,Torrington,US,41.8007,-73.1212,41.13,81,95,8.01
181,Lokosovo,RU,61.1333,74.8167,4.86,97,100,4.81
182,Russell,US,32.3502,-85.1999,75.96,41,0,9.22
183,Praia,CV,14.9215,-23.5087,81.14,39,40,18.41
184,Paamiut,GL,61.994,-49.6678,37.78,80,100,21.47
185,Sistranda,NO,63.7256,8.834,31.96,63,100,29.35
186,Yar-Sale,RU,66.8333,70.8333,-20.7,99,87,3.78
187,Jobner,IN,26.9667,75.3833,71.02,42,8,4.79
188,Buarcos,PT,40.166,-8.8768,56.55,72,100,8.97
189,Haicheng,CN,40.8516,122.7475,37.51,78,0,6.2
190,Vardo,NO,70.3705,31.1107,24.78,86,100,9.22
191,Kavieng,PG,-2.5744,150.7967,78.04,84,100,5.95
192,Cherdyn,RU,60.403,56.4787,19.65,98,100,2.66
193,Kodiak,US,57.79,-152.4072,27.91,40,0,0.0
194,Vanimo,PG,-2.6741,141.3028,75.9,93,100,8.77
195,High Prairie,CA,55.4334,-116.4858,6.6,81,100,8.1
196,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,20,12.66
197,Olafsvik,IS,64.8945,-23.7142,41.0,85,100,3.89
198,Port Elizabeth,ZA,-33.918,25.5701,73.09,96,0,5.75
199,Kargasok,RU,59.0556,80.8572,6.13,96,96,7.31
200,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,72,20,22.59
201,Wajir,KE,1.7471,40.0573,91.36,33,0,16.11
202,Mandalgovi,MN,45.7625,106.2708,33.15,24,25,8.5
203,Sola,VU,-13.8833,167.55,82.04,77,19,21.5
204,Pekalongan,ID,-6.8886,109.6753,81.01,88,100,8.61
205,Saiha,IN,22.4833,92.9667,60.28,46,0,3.96
206,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,97.34,21,24,4.23
207,Salinopolis,BR,-0.6136,-47.3561,79.47,86,100,7.49
208,Kasongo-Lunda,CD,-6.4667,16.8167,72.59,95,100,2.57
209,Maltahohe,NA,-24.8333,16.9833,68.77,26,0,13.67
210,Chopinzinho,BR,-25.8558,-52.5233,73.8,81,97,5.35
211,Manoel Urbano,BR,-8.8389,-69.2597,83.48,82,98,2.68
212,Dakar,SN,14.6937,-17.4441,81.48,64,0,9.22
213,Kupang,ID,-10.1667,123.5833,76.84,86,100,8.05
214,Ercis,TR,39.0287,43.3586,32.77,89,94,3.62
215,Xining,CN,36.6167,101.7667,34.84,28,0,2.04
216,Jodhpur,IN,26.2867,73.03,76.26,30,88,11.21
217,Acajutla,SV,13.5928,-89.8275,86.34,55,0,11.12
218,Santa Rosa,PH,14.3122,121.1114,75.11,77,10,10.74
219,Margate,GB,51.3813,1.3862,43.9,83,100,5.01
220,Trairi,BR,-3.2778,-39.2689,83.66,72,36,10.98
221,Nyurba,RU,63.2842,118.3319,10.33,93,100,8.19
222,Nuuk,GL,64.1835,-51.7216,43.41,52,75,4.61
223,Qasigiannguit,GL,68.8193,-51.1922,28.65,88,94,2.98
224,General Pico,AR,-35.6566,-63.7568,96.35,15,0,8.5
225,Mpanda,TZ,-6.3655,31.0409,66.49,95,97,3.53
226,Tazovskiy,RU,67.4667,78.7,-20.16,100,97,7.31
227,Pisco,PE,-13.7,-76.2167,75.25,83,0,8.05
228,Inhambane,MZ,-23.865,35.3833,76.57,90,30,12.88
229,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,78,32,17.47
230,Pevek,RU,69.7008,170.3133,-29.02,94,100,3.15
231,Mapimi,MX,25.8167,-103.85,73.35,9,0,5.03
232,Kajaani,FI,64.2273,27.7285,26.65,93,75,3.44
233,Narsaq,GL,60.9167,-46.05,52.02,90,39,4.07
234,Dikson,RU,73.5069,80.5464,-4.92,96,100,7.94
235,Nouadhibou,MR,20.931,-17.0347,75.18,53,0,17.27
236,Taoudenni,ML,22.6783,-3.9836,82.94,11,28,7.52
237,Tarauaca,BR,-8.1614,-70.7656,84.94,77,100,0.81
238,Faanui,PF,-16.4833,-151.75,81.43,75,100,8.72
239,Encheng,CN,22.1839,112.3026,62.17,83,0,1.95
240,Mackay,AU,-21.15,149.2,72.68,76,82,10.09
241,Fontenay-Le-Comte,FR,46.5833,-1.0,42.44,84,5,8.16
242,Pasighat,IN,28.0667,95.3333,68.56,46,56,4.14
243,Imbituba,BR,-28.24,-48.6703,89.85,76,94,8.79
244,Pipri,IN,19.8,75.5333,79.77,29,1,2.84
245,Kazanskaya,RU,45.4106,40.4361,42.6,82,96,17.81
246,Koumra,TD,8.9126,17.5539,91.62,10,94,5.3
247,Mislinja,SI,46.4411,15.1956,38.88,82,8,2.1
248,Tabou,CI,4.423,-7.3528,80.92,82,5,6.4
249,Taltal,CL,-25.4,-70.4833,73.89,71,52,7.25
250,Pemba,MZ,-12.974,40.5178,77.7,94,75,7.0
251,Hobart,AU,-42.8794,147.3294,62.26,91,75,5.75
252,Vytegra,RU,61.0064,36.4481,23.23,95,100,6.51
253,Pilar,BR,-9.5972,-35.9567,85.93,54,11,11.95
254,Komsomolskiy,UZ,40.4272,71.7189,48.92,71,23,0.0
255,Surskoye,RU,54.4821,46.7214,23.95,97,100,7.34
256,San Quintin,MX,30.4833,-115.95,58.5,68,0,15.17
257,The Valley,AI,18.217,-63.0578,82.54,65,20,16.11
258,Sao Filipe,CV,14.8961,-24.4956,74.3,60,3,9.13
259,Sitka,US,57.0531,-135.33,37.29,52,75,0.0
260,Zhezkazgan,KZ,47.8043,67.7144,19.18,91,100,7.09
261,Blacksburg,US,37.2296,-80.4139,53.8,54,0,10.36
262,Crossford,GB,56.05,-3.5,43.54,74,75,4.61
263,Kavaratti,IN,10.5669,72.642,82.24,58,0,4.27
264,Haverfordwest,GB,51.8017,-4.9691,43.56,74,40,1.01
265,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.76,58,0,23.02
266,Talara,PE,-4.5772,-81.2719,84.96,58,0,12.66
267,Fairbanks,US,64.8378,-147.7164,-10.08,72,0,3.44
268,Jalu,LY,29.0331,21.5482,66.02,55,5,19.66
269,Acapulco,MX,16.8634,-99.8901,84.65,58,4,10.31
270,Lucapa,AO,-8.4192,20.7447,69.04,92,100,1.72
271,Dingle,PH,10.9995,122.6711,74.25,88,84,10.04
272,Rawson,AR,-43.3002,-65.1023,77.29,14,0,21.85
273,Linjiang,CN,41.8069,126.9078,26.17,94,4,1.68
274,Buchanan,LR,5.8808,-10.0467,81.48,81,2,9.6
275,Tiksi,RU,71.6872,128.8694,-0.85,100,100,1.48
276,Ascension,US,30.2169,-90.9001,73.11,46,0,0.0
277,Nipawin,CA,53.3668,-104.0009,15.84,62,100,10.36
278,Wanning,CN,18.8003,110.3967,64.83,87,29,5.77
279,Goundi,TD,9.3627,17.366,92.07,9,92,4.92
280,Quatre Cocos,MU,-20.2078,57.7625,81.09,82,100,9.89
281,Maniitsoq,GL,65.4167,-52.9,36.07,79,14,8.01
282,Itaituba,BR,-4.2761,-55.9836,91.56,58,40,11.5
283,Idaho Falls,US,43.4666,-112.0341,27.57,80,100,8.05
284,Hasaki,JP,35.7333,140.8333,45.21,62,100,18.07
285,Tocopilla,CL,-22.092,-70.1979,75.63,71,100,6.17
286,Guerrero Negro,MX,27.9769,-114.0611,62.76,55,0,10.31
287,Igbo Ora,NG,7.4333,3.2833,82.67,66,24,5.5
288,Magadan,RU,59.5667,150.8,-22.68,99,90,4.36
289,Wamba,NG,8.9333,8.6,87.85,34,14,1.12
290,Port Augusta,AU,-32.5,137.7667,66.76,69,6,1.63
291,Yarmouth,US,41.7057,-70.2286,39.09,96,100,35.99
292,Port-Gentil,GA,-0.7193,8.7815,84.16,84,75,10.36
293,Asosa,ET,10.0667,34.5333,75.4,15,69,2.86
294,Ovre Ardal,NO,61.3167,7.8,25.68,99,100,2.21
295,Gornopravdinsk,RU,60.05,69.9,3.88,98,100,4.94
296,Upernavik,GL,72.7868,-56.1549,9.93,81,98,8.32
297,Moissala,TD,8.3404,17.7663,86.95,12,16,5.28
298,Mayumba,GA,-3.432,10.6554,79.36,83,41,5.5
299,Anloga,GH,5.7947,0.8973,83.03,78,100,10.71
300,Kanigoro,ID,-8.13,112.219,71.6,96,100,2.68
301,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.6,70,40,4.61
302,Ancud,CL,-41.8697,-73.8203,58.73,53,70,10.54
303,Palafrugell,ES,41.9174,3.1631,50.36,72,0,3.0
304,San Policarpo,PH,12.1791,125.5072,76.59,86,49,10.33
305,Busca,IT,44.5181,7.4743,45.75,73,1,2.3
306,Naze,JP,28.3667,129.4833,54.52,63,0,11.77
307,Son La,VN,21.3167,103.9,56.59,96,24,2.95
308,Puerto Carreno,CO,6.189,-67.4859,94.98,41,40,9.22
309,Sandpoint,US,48.2766,-116.5533,40.42,76,0,11.99
310,Sandakan,MY,5.8402,118.1179,80.28,78,20,8.05
311,Tsabong,BW,-26.0217,22.401,84.42,32,80,5.57
312,Skalat,UA,49.4273,25.9787,33.94,76,100,18.75
313,Pangkalanbuun,ID,-2.6833,111.6167,74.57,97,100,4.0
314,Elizabeth City,US,36.2946,-76.2511,66.22,42,0,18.41
315,Whitehorse,CA,60.7161,-135.0538,5.81,72,100,10.36
316,Saldanha,ZA,-33.0117,17.9442,65.71,88,100,7.81
317,Maan,PH,5.9339,124.7356,76.87,86,38,2.77
318,Krasnotorka,UA,48.682,37.5327,39.76,56,57,18.25
319,Necochea,AR,-38.5473,-58.7368,69.89,36,4,14.07
320,Fontem,CM,5.4685,9.8818,72.3,81,100,0.29
321,Sabha,LY,27.0377,14.4283,67.53,28,100,6.24
322,Galway,IE,53.2719,-9.0489,43.3,62,100,5.41
323,Zhukovka,RU,53.534,33.728,28.67,89,100,9.28
324,Bathsheba,BB,13.2167,-59.5167,84.81,61,20,21.85
325,Yumen,CN,40.2833,97.2,38.84,34,9,7.27
326,Matamoros,MX,25.5333,-103.25,73.11,14,0,3.22
327,Ous,RU,60.9058,61.5186,18.75,96,100,4.52
328,Latung,PH,5.5,120.8833,79.97,79,100,10.87
329,Christchurch,NZ,-43.5333,172.6333,53.91,93,75,5.75
330,Camacha,PT,33.0833,-16.3333,62.02,88,75,9.22
331,Portland,US,45.5234,-122.6762,44.62,85,100,15.01
332,Scarborough,GB,54.2797,-0.4044,40.91,85,90,1.01
333,Roma,US,43.2128,-75.4557,38.37,90,100,5.99
334,Nanortalik,GL,60.1432,-45.2371,38.17,90,80,19.77
335,Bagdarin,RU,54.4333,113.6,15.06,86,66,5.26
336,Aksarka,RU,66.5606,67.7975,-23.24,100,61,3.36
337,Ambulu,ID,-8.345,113.6058,74.82,91,100,2.55
338,Kruisfontein,ZA,-34.0033,24.7314,70.88,88,0,3.18
339,Kununurra,AU,-15.7667,128.7333,76.98,88,61,3.44
340,Katsuura,JP,35.1333,140.3,52.41,64,100,16.33
